GameId,TournamentName,StartDate,EndDate,Location,Teamplay,TotalUSDPrize
151,GSL January 2011 (Code S),2011-01-02,2011-01-29,Seoul South Korea,0,118364.41
151,GSL January 2011 (Code A),2011-01-02,2011-01-29,Seoul South Korea,0,11567.43
151,GSL March 2011 (Code S),2011-02-21,2011-03-19,Seoul South Korea,0,116046.45
151,GSL March 2011 (Code A),2011-02-21,2011-03-19,Seoul South Korea,0,11471.31
151,GSL World Championship Seoul 2011,2011-03-28,2011-04-09,Seoul South Korea,0,97882
151,GSL May 2011 (Code S),2011-04-18,2011-05-14,Seoul South Korea,0,121446.31
151,GSL May 2011 (Code A),2011-04-18,2011-05-14,Seoul South Korea,0,11868.64
151,GSL Super Tournament 2011,2011-05-23,2011-06-18,Seoul South Korea,0,185832.56
151,GSL July 2011 (Code S),2011-06-27,2011-07-30,Seoul South Korea,0,123866.95
151,GSL July 2011 (Code A),2011-06-27,2011-07-30,Seoul South Korea,0,12244.25
151,GSL August 2011 (Code S),2011-08-08,2011-09-10,Seoul South Korea,0,122551.35
151,GSL August 2011 (Code A),2011-08-08,2011-09-10,Seoul South Korea,0,11976.57
151,GSL October 2011 (Code S),2011-09-19,2011-10-22,Seoul South Korea,0,115052.73
151,GSL October 2011 (Code A),2011-09-19,2011-10-22,Seoul South Korea,0,11243.73
151,GSL November 2011 (Code S),2011-10-27,2011-12-07,Seoul South Korea,0,116860.67
151,Arena of Legends,2011-09-17,2011-10-02,South Korea (Online),0,5419.12
151,AoL: Team Ace Invitational,2011-11-03,2011-11-13,Busan South Korea (Online),0,17576.55
151,AoL: The King of Kongs,2012-01-02,2012-01-05,South Korea (Online),0,3148.79
151,GSL Blizzard Cup 2011,2011-12-12,2011-12-17,Seoul South Korea,0,58696.62
151,MLG Raleigh 2010 (StarCraft II),2010-08-27,2010-08-29,Raleigh North Carolina USA,0,7000
151,MLG D.C. 2010 (StarCraft II),2010-10-15,2010-10-17,Washington D.C. USA,0,7000
151,MLG Dallas 2010 (StarCraft II),2010-11-05,2010-11-07,Dallas Texas USA,0,17500
151,MLG Dallas 2011 (StarCraft II),2011-04-01,2011-04-03,Dallas Texas USA,0,14000
151,MLG Columbus 2011 (StarCraft II),2011-06-03,2011-06-05,Columbus Ohio USA,0,14000
151,MLG Anaheim 2011 (StarCraft II),2011-07-29,2011-07-31,Anaheim California USA,0,14000
151,MLG Raleigh 2011 (StarCraft II),2011-08-26,2011-08-28,Raleigh North Carolina USA,0,14000
151,MLG Orlando 2011 (StarCraft II),2011-10-14,2011-10-16,Orlando Florida USA,0,14000
151,MLG Providence 2011 (StarCraft II),2011-11-18,2011-11-20,Providence Rhode Island USA,0,120000
151,2011 MLG North American Invitational,2011-09-13,2011-10-27,Online (North America),0,3750
151,2011 MLG European Invitational,2011-09-15,2011-11-10,Online (Europe),0,3750
151,2011 MLG Korean Invitational,2011-09-20,2011-10-28,Online (South Korea),0,3750
151,2011 MLG Global Invitational Grand Finals,2011-11-18,2011-11-18,Providence Rhode Island,0,4000
156,MLG Dallas 2011 (Halo: Reach),2011-04-01,2011-04-03,Dallas Texas USA,1,56000
156,MLG Columbus 2011 (Halo: Reach),2011-06-03,2011-06-05,Columbus Ohio USA,1,56000
151,IEM VI - Cologne (StarCraft II),2011-08-17,2011-08-21,Cologne Germany,0,21000
151,IEM VI - Guangzhou (StarCraft II),2011-10-01,2011-10-05,Guangzhou China,0,21000
151,IEM VI - New York (StarCraft II),2011-10-13,2011-10-16,New York City NY USA,0,21000
151,IEM VI - Kiev (StarCraft II),2012-01-19,2012-01-22,Kiev Ukraine,0,21000
151,IEM VI - Sao Paulo (StarCraft II),2012-02-08,2012-02-11,Sao Paulo Brazil,0,21000
151,NASL Season 1,2011-04-12,2011-07-10,Online / Los Angeles California USA,0,100000
151,NASL Season 2 (Starcraft II),2011-08-30,2011-12-04,Online / Ontario California USA,0,100000
151,TSL 3,2011-03-19,2011-05-15,Online / New York City NY USA,0,34500
151,HomeStory Cup #1,2010-09-11,2010-09-12,Krefeld Germany,0,635.74
151,HomeStory Cup #2,2011-01-15,2011-01-16,Krefeld Germany,0,3748.93
151,HomeStory Cup #3,2011-06-23,2011-06-26,Krefeld Germany,0,5322.16
151,HomeStory Cup #4,2012-01-05,2012-01-08,Krefeld Germany,0,15000
